id	successful	dissovet	speciality	title	author	supervisor	uploaded	defended	interval
14074722	True	09.22.00	4.3.3	Разработка технологии функционального пищевого продукта профилактической направленности с использованием биологически активных веществ растений семейства крестоцветные (cruciferae)	Эминова Эльмира Рамазановна	Бараненко Денис Александрович	08.11.2024	10.12.2024	32
224795	True	08.19.00	05.04.03	Анализ энергетической эффективности систем утилизации теплоты вытяжного воздуха активного типа	Муравейников Сергей Сергеевич	Сулин Александр Борисович	23.10.2020	25.11.2020	33
234139	True	06.19.00	05.11.07	Разработка беспроводной оптико-электронной системы односторонней передачи информационных сообщений с использованием светодиодов	Гареев Эмиль Зуфарович	Бугров Владислав Евгеньевич	13.11.2020	15.12.2020	32
10318514	True	14.22.00	2.3.6	Модели и методы обеспечения информационной безопасности в системе прослеживаемости товаров на основе технологии распределённого реестра	Лэ Ван Хиеу	Комаров Игорь Иванович	29.10.2024	29.11.2024	31
127097	True	07.19.00	05.27.03	Одночастотный арочный квантово-каскадный лазер диапазона 7-8 мкм на основе гетероструктур, изготовленных методом молекулярно-пучковой эпитаксии	Курочкин Александр Сергеевич	Егоров Антон Юрьевич	29.11.2019	30.12.2019	31
750831	True	02.22.00	1.2.1	Разработка средств визуального программирования для моделей машинного обучения на основе двудольного представления графа потоков данных	Ходненко Иван Владимирович	Иванов Сергей Владимирович	25.11.2022	26.12.2022	31
1028186	True	05.22.00	1.3.6	Режимы связи оптических мод в диэлектрических резонаторах	Дмитриев Алексей Андреевич	Рыбин Михаил Валерьевич	16.11.2023	18.12.2023	32
10317432	True	03.22.00	2.3.1	Синтез законов адаптивного управления для линейных нестационарных систем с неопределенностями	Та Минь Шон	Пыркин Антон Александрович	28.10.2024	28.11.2024	31
922482	True	10.22.00	1.4.7	Моделирование разветвленных пептидных молекул с гидрофобными фрагментами для доставки биоактивных олигопептидов	Фатуллаев Эмиль Илгамович	Неелов Игорь Михайлович	30.05.2023	30.06.2023	31
737919	True	09.22.00	2.7.1	Разработка технологии ферментированного напитка с пробиотическими свойствами из гречневой муки	Бучилина Алина Сергеевна	Гунькова Полина Исаевна	21.10.2022	24.11.2022	34
1033486	True	10.22.00	2.6.11	Исследование полимерных нановолокон с нанокристаллами перовскита, полученных методом электроформования	Бккар Мухаммад	Олехнович Роман Олегович	20.11.2023	20.12.2023	30
1034488	True	02.22.00	1.2.2	Математическое моделирование физико-химических процессов на основе метрических графов	Федоров Евгений Георгиевич	Попов Игорь Юрьевич	22.11.2023	22.12.2023	30
1034868	True	02.22.00	1.2.1	Математическое и программное обеспечения обучения и оценки рекомендательных систем на основе синтетических данных	Лысенко Антон Викторович	Бухановский Александр Валерьевич	24.11.2023	25.12.2023	31
571760	True	02.18.00	05.13.17	Синтез изображений лиц на основе генеративных методов машинного обучения с применением к распознаванию лиц	Зено Бассель	Матвеев Юрий Николаевич	15.04.2022	16.05.2022	31
